,0,1,2,3,4,5,6,7,8
320,2.0,1.311,0.449,0.662,1.998,2.0,1.043,1.16,0.894
321,2.0,2.0,0.285,0.658,2.0,2.0,2.0,1.015,2.0
322,2.0,1.073,0.137,0.722,2.0,2.0,1.044,1.388,0.787
323,2.0,1.094,0.192,0.672,2.0,2.0,1.06,1.189,1.98
324,2.0,2.0,0.101,0.637,2.0,2.0,1.068,1.176,2.0
325,2.0,1.093,0.32,0.672,2.0,2.0,1.05,1.18,0.977
326,2.0,1.0,0.083,0.77,2.0,2.0,1.013,1.366,2.0
327,2.0,0.997,0.115,0.715,2.0,2.0,1.013,2.0,2.0
328,2.0,0.972,2.0,0.062,2.0,1.948,1.238,0.824,2.0
329,2.0,2.0,0.134,0.604,2.0,2.0,1.036,2.0,2.0
330,2.0,2.0,0.249,0.649,1.999,2.0,1.055,1.072,1.889
331,2.0,1.132,0.212,0.697,1.996,2.0,1.036,1.275,0.928
332,2.0,1.023,0.159,0.707,2.0,2.0,1.047,1.097,2.0
333,2.0,2.0,0.412,0.645,2.0,2.0,2.0,0.978,2.0
334,2.0,0.973,0.091,0.801,2.0,2.0,1.025,2.0,2.0
335,2.0,1.296,0.471,0.63,2.0,2.0,2.0,0.908,2.0
336,2.0,2.0,0.474,0.656,2.0,2.0,1.018,1.071,1.985
337,2.0,2.0,0.673,0.577,2.0,2.0,2.0,0.858,2.0
338,2.0,0.844,0.075,0.931,2.0,2.0,1.265,2.0,1.868
339,2.0,1.021,0.257,0.584,2.0,2.0,1.046,1.402,0.763
340,2.0,1.037,0.182,0.282,2.0,2.0,1.038,2.0,2.0
341,2.0,1.217,0.237,0.669,2.0,2.0,1.004,1.266,1.002
342,2.0,0.978,0.131,0.786,2.0,2.0,1.029,1.373,0.78
343,2.0,1.048,0.256,0.583,1.954,2.0,1.039,1.485,0.778
344,1.928,2.0,0.105,0.661,2.0,1.999,1.066,1.217,2.0
345,2.0,2.0,0.112,0.616,2.0,2.0,1.058,1.085,2.0
346,2.0,0.964,0.164,0.777,1.931,2.0,1.083,2.0,1.789
